"LocID","Location","VarID","Variant","Age","Time","DeathMale","DeathFemale","DeathTotal"
578,"Norway",4,"Median","0",1950,941,651,1592
578,"Norway",4,"Median","1",1950,179,130,309
578,"Norway",4,"Median","2",1950,65,46,111
578,"Norway",4,"Median","3",1950,52,40,92
578,"Norway",4,"Median","4",1950,35,29,64
578,"Norway",4,"Median","5",1950,33,21,54
578,"Norway",4,"Median","6",1950,33,19,53
578,"Norway",4,"Median","7",1950,30,14,44
578,"Norway",4,"Median","8",1950,20,10,30
578,"Norway",4,"Median","9",1950,16,7,24
578,"Norway",4,"Median","10",1950,17,8,25
578,"Norway",4,"Median","11",1950,12,8,20
578,"Norway",4,"Median","12",1950,9,6,16
578,"Norway",4,"Median","13",1950,14,8,22
578,"Norway",4,"Median","14",1950,14,11,26
578,"Norway",4,"Median","15",1950,16,13,29
578,"Norway",4,"Median","16",1950,18,10,27
578,"Norway",4,"Median","17",1950,26,9,35
578,"Norway",4,"Median","18",1950,28,15,43
578,"Norway",4,"Median","19",1950,33,17,50
578,"Norway",4,"Median","20",1950,47,20,66
578,"Norway",4,"Median","21",1950,42,21,63
578,"Norway",4,"Median","22",1950,31,20,51
578,"Norway",4,"Median","23",1950,31,23,54
578,"Norway",4,"Median","24",1950,35,19,54
578,"Norway",4,"Median","25",1950,38,21,59
578,"Norway",4,"Median","26",1950,44,27,70
578,"Norway",4,"Median","27",1950,40,27,66
578,"Norway",4,"Median","28",1950,38,29,67
578,"Norway",4,"Median","29",1950,40,28,69
578,"Norway",4,"Median","30",1950,37,28,65
578,"Norway",4,"Median","31",1950,41,31,71
578,"Norway",4,"Median","32",1950,45,32,78
578,"Norway",4,"Median","33",1950,43,32,75
578,"Norway",4,"Median","34",1950,46,28,74
578,"Norway",4,"Median","35",1950,49,33,82
578,"Norway",4,"Median","36",1950,58,42,99
578,"Norway",4,"Median","37",1950,59,40,99
578,"Norway",4,"Median","38",1950,47,35,82
578,"Norway",4,"Median","39",1950,47,38,85
578,"Norway",4,"Median","40",1950,61,43,104
578,"Norway",4,"Median","41",1950,68,44,112
578,"Norway",4,"Median","42",1950,69,48,117
578,"Norway",4,"Median","43",1950,71,51,122
578,"Norway",4,"Median","44",1950,75,54,130
578,"Norway",4,"Median","45",1950,79,66,145
578,"Norway",4,"Median","46",1950,80,78,158
578,"Norway",4,"Median","47",1950,97,86,183
578,"Norway",4,"Median","48",1950,108,80,188
578,"Norway",4,"Median","49",1950,113,74,186
578,"Norway",4,"Median","50",1950,127,84,211
578,"Norway",4,"Median","51",1950,141,95,237
578,"Norway",4,"Median","52",1950,125,104,230
578,"Norway",4,"Median","53",1950,130,110,240
578,"Norway",4,"Median","54",1950,153,112,265
578,"Norway",4,"Median","55",1950,162,111,273
578,"Norway",4,"Median","56",1950,169,120,288
578,"Norway",4,"Median","57",1950,175,125,300
578,"Norway",4,"Median","58",1950,173,131,305
578,"Norway",4,"Median","59",1950,180,146,326
578,"Norway",4,"Median","60",1950,185,152,336
578,"Norway",4,"Median","61",1950,191,178,370
578,"Norway",4,"Median","62",1950,212,187,399
578,"Norway",4,"Median","63",1950,227,205,432
578,"Norway",4,"Median","64",1950,236,225,462
578,"Norway",4,"Median","65",1950,245,235,480
578,"Norway",4,"Median","66",1950,260,234,493
578,"Norway",4,"Median","67",1950,291,258,549
578,"Norway",4,"Median","68",1950,278,264,543
578,"Norway",4,"Median","69",1950,271,268,539
578,"Norway",4,"Median","70",1950,308,286,594
578,"Norway",4,"Median","71",1950,328,353,681
578,"Norway",4,"Median","72",1950,341,357,698
578,"Norway",4,"Median","73",1950,396,395,790
578,"Norway",4,"Median","74",1950,398,437,835
578,"Norway",4,"Median","75",1950,371,425,796
578,"Norway",4,"Median","76",1950,386,442,828
578,"Norway",4,"Median","77",1950,429,468,897
578,"Norway",4,"Median","78",1950,437,457,893
578,"Norway",4,"Median","79",1950,404,493,897
578,"Norway",4,"Median","80",1950,368,469,836
578,"Norway",4,"Median","81",1950,385,464,849
578,"Norway",4,"Median","82",1950,367,450,818
578,"Norway",4,"Median","83",1950,369,444,813
578,"Norway",4,"Median","84",1950,368,449,816
578,"Norway",4,"Median","85",1950,348,454,802
578,"Norway",4,"Median","86",1950,310,415,725
578,"Norway",4,"Median","87",1950,249,355,605
578,"Norway",4,"Median","88",1950,197,305,502
578,"Norway",4,"Median","89",1950,177,253,430
578,"Norway",4,"Median","90",1950,157,227,384
578,"Norway",4,"Median","91",1950,122,191,313
578,"Norway",4,"Median","92",1950,99,149,248
578,"Norway",4,"Median","93",1950,76,120,196
578,"Norway",4,"Median","94",1950,58,97,155
578,"Norway",4,"Median","95",1950,49,77,126
578,"Norway",4,"Median","96",1950,31,58,89
578,"Norway",4,"Median","97",1950,15,34,49
578,"Norway",4,"Median","98",1950,10,22,32
578,"Norway",4,"Median","99",1950,7,13,20
578,"Norway",4,"Median","100",1950,3,4,7
578,"Norway",4,"Median","101",1950,2,3,5
578,"Norway",4,"Median","102",1950,1,2,3
578,"Norway",4,"Median","103",1950,1,2,3
578,"Norway",4,"Median","104",1950,1,1,2
578,"Norway",4,"Median","105",1950,1,1,2
578,"Norway",4,"Median","106",1950,0,1,1
578,"Norway",4,"Median","107",1950,0,1,1
