"LocID","Location","VarID","Variant","Age","Time","PopMale","PopFemale","PopTotal"
642,"Romania",4,"Median","0",1950,194084,187446,381529.5
642,"Romania",4,"Median","1",1950,176008,172183,348191.5
642,"Romania",4,"Median","2",1950,161436,158406,319841.5
642,"Romania",4,"Median","3",1950,149178,146746,295924
642,"Romania",4,"Median","4",1950,141616,139369,280985
642,"Romania",4,"Median","5",1950,138202,136022,274224.5
642,"Romania",4,"Median","6",1950,137603,135676,273278.5
642,"Romania",4,"Median","7",1950,139609,138348,277957
642,"Romania",4,"Median","8",1950,143934,143804,287738
642,"Romania",4,"Median","9",1950,148746,149959,298705.5
642,"Romania",4,"Median","10",1950,152420,155143,307563
642,"Romania",4,"Median","11",1950,155946,159563,315509
642,"Romania",4,"Median","12",1950,159910,162802,322712.5
642,"Romania",4,"Median","13",1950,162050,163564,325614
642,"Romania",4,"Median","14",1950,162510,163244,325754
642,"Romania",4,"Median","15",1950,162921,162962,325883
642,"Romania",4,"Median","16",1950,164222,162848,327070.5
642,"Romania",4,"Median","17",1950,165630,162993,328623.5
642,"Romania",4,"Median","18",1950,165356,162880,328236.5
642,"Romania",4,"Median","19",1950,164508,162735,327242.5
642,"Romania",4,"Median","20",1950,163421,161476,324897
642,"Romania",4,"Median","21",1950,161434,159160,320593.5
642,"Romania",4,"Median","22",1950,157992,156315,314306.5
642,"Romania",4,"Median","23",1950,152721,152614,305335.5
642,"Romania",4,"Median","24",1950,147468,149944,297411.5
642,"Romania",4,"Median","25",1950,141977,147670,289647
642,"Romania",4,"Median","26",1950,135592,144732,280324.5
642,"Romania",4,"Median","27",1950,128561,140992,269553.5
642,"Romania",4,"Median","28",1950,118865,133831,252696
642,"Romania",4,"Median","29",1950,106279,122746,229025.5
642,"Romania",4,"Median","30",1950,93752,110648,204399.5
642,"Romania",4,"Median","31",1950,84870,101715,186585
642,"Romania",4,"Median","32",1950,80228,96825,177053.5
642,"Romania",4,"Median","33",1950,78942,94955,173897.5
642,"Romania",4,"Median","34",1950,82807,98606,181412.5
642,"Romania",4,"Median","35",1950,91424,107500,198924.5
642,"Romania",4,"Median","36",1950,101276,117122,218398.5
642,"Romania",4,"Median","37",1950,109150,123592,232741.5
642,"Romania",4,"Median","38",1950,113010,125448,238458
642,"Romania",4,"Median","39",1950,113476,124172,237647.5
642,"Romania",4,"Median","40",1950,112142,120950,233091.5
642,"Romania",4,"Median","41",1950,110517,117208,227725.5
642,"Romania",4,"Median","42",1950,108238,113218,221456
642,"Romania",4,"Median","43",1950,104802,108358,213161
642,"Romania",4,"Median","44",1950,102218,104549,206766.5
642,"Romania",4,"Median","45",1950,100028,101728,201756
642,"Romania",4,"Median","46",1950,97800,99733,197532.5
642,"Romania",4,"Median","47",1950,96144,99077,195220.5
642,"Romania",4,"Median","48",1950,93286,97744,191030.5
642,"Romania",4,"Median","49",1950,88814,95206,184019.5
642,"Romania",4,"Median","50",1950,84034,92458,176492.5
642,"Romania",4,"Median","51",1950,80270,90804,171073
642,"Romania",4,"Median","52",1950,76251,88894,165145
642,"Romania",4,"Median","53",1950,70516,84370,154886
642,"Romania",4,"Median","54",1950,65972,80258,146229.5
642,"Romania",4,"Median","55",1950,63554,78318,141872
642,"Romania",4,"Median","56",1950,61430,76941,138371.5
642,"Romania",4,"Median","57",1950,58971,74864,133835
642,"Romania",4,"Median","58",1950,55956,71405,127360.5
642,"Romania",4,"Median","59",1950,50538,64601,115138.5
642,"Romania",4,"Median","60",1950,44852,57468,102320.5
642,"Romania",4,"Median","61",1950,41736,53771,95506.5
642,"Romania",4,"Median","62",1950,39540,51332,90871.5
642,"Romania",4,"Median","63",1950,38258,50118,88377
