"LocID","Location","VarID","Variant","Time","Births","SRB","LEx","LExMale","LExFemale","Deaths","DeathsMale","DeathsFemale","NetMigrations"
578,"Norway",4,"Median",1950,62833,1.068,71.5878,69.9202,73.2548,29561,14768,14793,-2898
578,"Norway",4,"Median",1951,60692,1.067,72.5258,70.7627,74.2921,27608,13913,13695,-1923
578,"Norway",4,"Median",1952,62419,1.064,72.6501,70.9916,74.2986,28349,14262,14086,-1466
578,"Norway",4,"Median",1953,62692,1.06,73.1485,71.237,75.0707,28349,14494,13855,-568
578,"Norway",4,"Median",1954,62303,1.058,73.2085,71.3337,75.0925,29082,14822,14259,-280
578,"Norway",4,"Median",1955,63113,1.058,73.4314,71.5328,75.3434,29087,14864,14224,1309
578,"Norway",4,"Median",1956,63872,1.057,73.4861,71.4616,75.5262,29778,15420,14359,-4355
578,"Norway",4,"Median",1957,62360,1.057,73.4341,71.3685,75.5347,30492,15744,14748,218
578,"Norway",4,"Median",1958,62450,1.058,73.4246,71.3571,75.5248,31394,16353,15041,-1085
578,"Norway",4,"Median",1959,62142,1.06,73.5503,71.3637,75.7854,31639,16556,15082,-842
578,"Norway",4,"Median",1960,60834,1.06,73.5639,71.3309,75.8561,32457,17092,15366,-1427
578,"Norway",4,"Median",1961,61932,1.062,73.5644,71.1593,76.0509,33246,17754,15492,1437
578,"Norway",4,"Median",1962,61828,1.061,73.4591,70.9651,76.0487,34240,18305,15936,655
578,"Norway",4,"Median",1963,62826,1.061,73.0967,70.781,75.4909,36810,19342,17468,1061
578,"Norway",4,"Median",1964,65263,1.065,73.6079,71.2213,76.0761,35121,18676,16446,-1571
578,"Norway",4,"Median",1965,65928,1.066,73.726,71.0505,76.5274,35270,19205,16065,-1525
578,"Norway",4,"Median",1966,66918,1.065,74.0066,71.4136,76.7095,35927,19524,16403,-888
578,"Norway",4,"Median",1967,66183,1.063,74.0725,71.3226,76.9442,36116,19741,16375,2460
578,"Norway",4,"Median",1968,67265,1.062,73.9448,71.2178,76.79,37609,20391,17218,1761
578,"Norway",4,"Median",1969,67716,1.06,73.6659,70.8082,76.6741,38923,21362,17561,2230
578,"Norway",4,"Median",1970,64789,1.059,74.0705,70.9988,77.3203,38682,21347,17334,-1034
578,"Norway",4,"Median",1971,65656,1.057,74.1747,71.148,77.3599,38956,21364,17592,3031
578,"Norway",4,"Median",1972,64327,1.057,74.3493,71.3358,77.5129,39352,21493,17859,5603
578,"Norway",4,"Median",1973,61299,1.056,74.4403,71.3335,77.7121,39920,21907,18013,3414
