"location_id","location","disease","time","age_group_id","age_group","age","is_filled","gender_id","gender","measure_id","measure","mean","lower","upper","disease_clean"
380,"Italy","Ovarian cancer",2023,6,"5-9 years",5,TRUE,2,"Female",5,"prevalence",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,6,"5-9 years",5,TRUE,2,"Female",6,"incidence",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,6,"5-9 years",5,TRUE,2,"Female",15,"mortality",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,6,"5-9 years",5,TRUE,2,"Female",7,"remission",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,6,"5-9 years",6,TRUE,2,"Female",5,"prevalence",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,6,"5-9 years",6,TRUE,2,"Female",6,"incidence",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,6,"5-9 years",6,TRUE,2,"Female",15,"mortality",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,6,"5-9 years",6,TRUE,2,"Female",7,"remission",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,6,"5-9 years",7,TRUE,2,"Female",5,"prevalence",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,6,"5-9 years",7,TRUE,2,"Female",6,"incidence",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,6,"5-9 years",7,TRUE,2,"Female",15,"mortality",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,6,"5-9 years",7,TRUE,2,"Female",7,"remission",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,6,"5-9 years",8,TRUE,2,"Female",5,"prevalence",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,6,"5-9 years",8,TRUE,2,"Female",6,"incidence",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,6,"5-9 years",8,TRUE,2,"Female",15,"mortality",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,6,"5-9 years",8,TRUE,2,"Female",7,"remission",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,6,"5-9 years",9,TRUE,2,"Female",5,"prevalence",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,6,"5-9 years",9,TRUE,2,"Female",6,"incidence",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,6,"5-9 years",9,TRUE,2,"Female",15,"mortality",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,6,"5-9 years",9,TRUE,2,"Female",7,"remission",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,7,"10-14 years",10,TRUE,2,"Female",5,"prevalence",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,7,"10-14 years",10,TRUE,2,"Female",6,"incidence",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,7,"10-14 years",10,TRUE,2,"Female",15,"mortality",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,7,"10-14 years",10,TRUE,2,"Female",7,"remission",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,7,"10-14 years",11,TRUE,2,"Female",5,"prevalence",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,7,"10-14 years",11,TRUE,2,"Female",6,"incidence",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,7,"10-14 years",11,TRUE,2,"Female",15,"mortality",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,7,"10-14 years",11,TRUE,2,"Female",7,"remission",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,7,"10-14 years",12,TRUE,2,"Female",5,"prevalence",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,7,"10-14 years",12,TRUE,2,"Female",6,"incidence",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,7,"10-14 years",12,TRUE,2,"Female",15,"mortality",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,7,"10-14 years",12,TRUE,2,"Female",7,"remission",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,7,"10-14 years",13,TRUE,2,"Female",5,"prevalence",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,7,"10-14 years",13,TRUE,2,"Female",6,"incidence",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,7,"10-14 years",13,TRUE,2,"Female",15,"mortality",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,7,"10-14 years",13,TRUE,2,"Female",7,"remission",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,7,"10-14 years",14,TRUE,2,"Female",5,"prevalence",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,7,"10-14 years",14,TRUE,2,"Female",6,"incidence",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,7,"10-14 years",14,TRUE,2,"Female",15,"mortality",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,7,"10-14 years",14,TRUE,2,"Female",7,"remission",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,8,"15-19 years",15,TRUE,2,"Female",5,"prevalence",9.60507638704e-05,7.36964541063e-05,0.0001212954828313,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,8,"15-19 years",15,TRUE,2,"Female",6,"incidence",1.28163623295e-05,9.8959556679e-06,1.61394089716e-05,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,8,"15-19 years",15,TRUE,2,"Female",15,"mortality",0.0120888428013716,0.0125771914590088,0.0115990898601491,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,8,"15-19 years",15,TRUE,2,"Female",7,"remission",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,8,"15-19 years",16,TRUE,2,"Female",5,"prevalence",9.60507638704e-05,7.36964541063e-05,0.0001212954828313,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,8,"15-19 years",16,TRUE,2,"Female",6,"incidence",1.28163623295e-05,9.8959556679e-06,1.61394089716e-05,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,8,"15-19 years",16,TRUE,2,"Female",15,"mortality",0.0120888428013716,0.0125771914590088,0.0115990898601491,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,8,"15-19 years",16,TRUE,2,"Female",7,"remission",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,8,"15-19 years",17,TRUE,2,"Female",5,"prevalence",9.60507638704e-05,7.36964541063e-05,0.0001212954828313,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,8,"15-19 years",17,TRUE,2,"Female",6,"incidence",1.28163623295e-05,9.8959556679e-06,1.61394089716e-05,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,8,"15-19 years",17,TRUE,2,"Female",15,"mortality",0.0120888428013716,0.0125771914590088,0.0115990898601491,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,8,"15-19 years",17,TRUE,2,"Female",7,"remission",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,8,"15-19 years",18,TRUE,2,"Female",5,"prevalence",9.60507638704e-05,7.36964541063e-05,0.0001212954828313,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,8,"15-19 years",18,TRUE,2,"Female",6,"incidence",1.28163623295e-05,9.8959556679e-06,1.61394089716e-05,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,8,"15-19 years",18,TRUE,2,"Female",15,"mortality",0.0120888428013716,0.0125771914590088,0.0115990898601491,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,8,"15-19 years",18,TRUE,2,"Female",7,"remission",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,8,"15-19 years",19,TRUE,2,"Female",5,"prevalence",9.60507638704e-05,7.36964541063e-05,0.0001212954828313,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,8,"15-19 years",19,TRUE,2,"Female",6,"incidence",1.28163623295e-05,9.8959556679e-06,1.61394089716e-05,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,8,"15-19 years",19,TRUE,2,"Female",15,"mortality",0.0120888428013716,0.0125771914590088,0.0115990898601491,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,8,"15-19 years",19,TRUE,2,"Female",7,"remission",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,9,"20-24 years",20,TRUE,2,"Female",5,"prevalence",0.0001270138749804,9.54314903291e-05,0.0001670503726191,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,9,"20-24 years",20,TRUE,2,"Female",6,"incidence",1.701267854e-05,1.29086195024e-05,2.22046486736e-05,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,9,"20-24 years",20,TRUE,2,"Female",15,"mortality",0.0138984713383764,0.0145693465140157,0.0132969480203395,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,9,"20-24 years",20,TRUE,2,"Female",7,"remission",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,9,"20-24 years",21,TRUE,2,"Female",5,"prevalence",0.0001270138749804,9.54314903291e-05,0.0001670503726191,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,9,"20-24 years",21,TRUE,2,"Female",6,"incidence",1.701267854e-05,1.29086195024e-05,2.22046486736e-05,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,9,"20-24 years",21,TRUE,2,"Female",15,"mortality",0.0138984713383764,0.0145693465140157,0.0132969480203395,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,9,"20-24 years",21,TRUE,2,"Female",7,"remission",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,9,"20-24 years",22,TRUE,2,"Female",5,"prevalence",0.0001270138749804,9.54314903291e-05,0.0001670503726191,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,9,"20-24 years",22,TRUE,2,"Female",6,"incidence",1.701267854e-05,1.29086195024e-05,2.22046486736e-05,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,9,"20-24 years",22,TRUE,2,"Female",15,"mortality",0.0138984713383764,0.0145693465140157,0.0132969480203395,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,9,"20-24 years",22,TRUE,2,"Female",7,"remission",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,9,"20-24 years",23,TRUE,2,"Female",5,"prevalence",0.0001270138749804,9.54314903291e-05,0.0001670503726191,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,9,"20-24 years",23,TRUE,2,"Female",6,"incidence",1.701267854e-05,1.29086195024e-05,2.22046486736e-05,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,9,"20-24 years",23,TRUE,2,"Female",15,"mortality",0.0138984713383764,0.0145693465140157,0.0132969480203395,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,9,"20-24 years",23,TRUE,2,"Female",7,"remission",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,9,"20-24 years",24,TRUE,2,"Female",5,"prevalence",0.0001270138749804,9.54314903291e-05,0.0001670503726191,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,9,"20-24 years",24,TRUE,2,"Female",6,"incidence",1.701267854e-05,1.29086195024e-05,2.22046486736e-05,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,9,"20-24 years",24,TRUE,2,"Female",15,"mortality",0.0138984713383764,0.0145693465140157,0.0132969480203395,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,9,"20-24 years",24,TRUE,2,"Female",7,"remission",0,0,0,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,10,"25-29 years",25,TRUE,2,"Female",5,"prevalence",0.0001755150333572,0.0001337052409189,0.0002287425369604,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,10,"25-29 years",25,TRUE,2,"Female",6,"incidence",2.37421548487e-05,1.80241525916e-05,3.06475276875e-05,"ovarian cancer"
380,"Italy","Ovarian cancer",2023,10,"25-29 years",25,TRUE,2,"Female",15,"mortality",0.0164270143564098,0.0171567787584398,0.0156902800119774,"ovarian cancer"
