Time,Male,Female
1,0,0.14456022293949
2,0,0.000365685041685655
3,0,-8.22721829611088e-07
4,0,4.16587493151307e-10
5,0,0.00128151142163659
6,0,-0.000364607247706795
7,0,2.69770280629779e-06
