population_group_id,population_group_name,measure_id,measure,location_id,location,gender_id,gender,age_group_id,age_group,age,cause_id,disease,metric_id,metric_name,year,mean,upper,lower,time,is_filled
1,All Population,3,YLD,246,Finland,1,Male,8,15-19 years,17,294,All causes,3,Rate,2023,0.076208114226231,0.09804617679081541,0.0549157963117217,2023,True
1,All Population,3,YLD,246,Finland,2,Female,8,15-19 years,17,294,All causes,3,Rate,2023,0.0926060942330303,0.117976235957467,0.0666009786621868,2023,True
1,All Population,3,YLD,246,Finland,1,Male,8,15-19 years,18,294,All causes,3,Rate,2023,0.076208114226231,0.09804617679081541,0.0549157963117217,2023,True
1,All Population,3,YLD,246,Finland,2,Female,8,15-19 years,18,294,All causes,3,Rate,2023,0.0926060942330303,0.117976235957467,0.0666009786621868,2023,True
1,All Population,3,YLD,246,Finland,1,Male,8,15-19 years,19,294,All causes,3,Rate,2023,0.076208114226231,0.09804617679081541,0.0549157963117217,2023,True
1,All Population,3,YLD,246,Finland,2,Female,8,15-19 years,19,294,All causes,3,Rate,2023,0.0926060942330303,0.117976235957467,0.0666009786621868,2023,True
1,All Population,3,YLD,246,Finland,1,Male,9,20-24 years,20,294,All causes,3,Rate,2023,0.0894265279358021,0.112463882433728,0.0679176031160626,2023,True
1,All Population,3,YLD,246,Finland,2,Female,9,20-24 years,20,294,All causes,3,Rate,2023,0.10727451540411201,0.138939764125816,0.0792661965054044,2023,True
1,All Population,3,YLD,246,Finland,1,Male,9,20-24 years,21,294,All causes,3,Rate,2023,0.0894265279358021,0.112463882433728,0.0679176031160626,2023,True
1,All Population,3,YLD,246,Finland,2,Female,9,20-24 years,21,294,All causes,3,Rate,2023,0.10727451540411201,0.138939764125816,0.0792661965054044,2023,True
1,All Population,3,YLD,246,Finland,1,Male,9,20-24 years,22,294,All causes,3,Rate,2023,0.0894265279358021,0.112463882433728,0.0679176031160626,2023,True
1,All Population,3,YLD,246,Finland,2,Female,9,20-24 years,22,294,All causes,3,Rate,2023,0.10727451540411201,0.138939764125816,0.0792661965054044,2023,True
1,All Population,3,YLD,246,Finland,1,Male,9,20-24 years,23,294,All causes,3,Rate,2023,0.0894265279358021,0.112463882433728,0.0679176031160626,2023,True
1,All Population,3,YLD,246,Finland,2,Female,9,20-24 years,23,294,All causes,3,Rate,2023,0.10727451540411201,0.138939764125816,0.0792661965054044,2023,True
1,All Population,3,YLD,246,Finland,1,Male,9,20-24 years,24,294,All causes,3,Rate,2023,0.0894265279358021,0.112463882433728,0.0679176031160626,2023,True
1,All Population,3,YLD,246,Finland,2,Female,9,20-24 years,24,294,All causes,3,Rate,2023,0.10727451540411201,0.138939764125816,0.0792661965054044,2023,True
1,All Population,3,YLD,246,Finland,1,Male,10,25-29 years,25,294,All causes,3,Rate,2023,0.09800016287972119,0.122075160344759,0.07497779347459099,2023,True
1,All Population,3,YLD,246,Finland,2,Female,10,25-29 years,25,294,All causes,3,Rate,2023,0.11874219579156,0.15082083171597901,0.08691407993014111,2023,True
1,All Population,3,YLD,246,Finland,1,Male,10,25-29 years,26,294,All causes,3,Rate,2023,0.09800016287972119,0.122075160344759,0.07497779347459099,2023,True
1,All Population,3,YLD,246,Finland,2,Female,10,25-29 years,26,294,All causes,3,Rate,2023,0.11874219579156,0.15082083171597901,0.08691407993014111,2023,True
1,All Population,3,YLD,246,Finland,1,Male,10,25-29 years,27,294,All causes,3,Rate,2023,0.09800016287972119,0.122075160344759,0.07497779347459099,2023,True
1,All Population,3,YLD,246,Finland,2,Female,10,25-29 years,27,294,All causes,3,Rate,2023,0.11874219579156,0.15082083171597901,0.08691407993014111,2023,True
1,All Population,3,YLD,246,Finland,1,Male,10,25-29 years,28,294,All causes,3,Rate,2023,0.09800016287972119,0.122075160344759,0.07497779347459099,2023,True
1,All Population,3,YLD,246,Finland,2,Female,10,25-29 years,28,294,All causes,3,Rate,2023,0.11874219579156,0.15082083171597901,0.08691407993014111,2023,True
1,All Population,3,YLD,246,Finland,1,Male,10,25-29 years,29,294,All causes,3,Rate,2023,0.09800016287972119,0.122075160344759,0.07497779347459099,2023,True
1,All Population,3,YLD,246,Finland,2,Female,10,25-29 years,29,294,All causes,3,Rate,2023,0.11874219579156,0.15082083171597901,0.08691407993014111,2023,True
