"country","sex","age_group","age_mean","year_mean","years_post_int","outcome","mean","se","l","u"
"India","Male","55-59",57.5,2.5,"0-4 years","COPD",0.0270479465760877,0.00168296834788561,0.0233865965388092,0.0301028439551895
"India","Male","55-59",57.5,7.5,"5-9 years","COPD",0.0737938542456306,0.00459157668825314,0.0638047362091424,0.0821284112255714
"India","Male","55-59",57.5,12.5,"10-14 years","COPD",0.095549811274223,0.00594526862024809,0.0826156942947063,0.106341568319963
"India","Male","55-59",57.5,17.5,"15-19 years","COPD",0.103487795595466,0.00643918324408409,0.0894791519745742,0.11517609861116
"India","Male","55-59",57.5,22.5,"20-24 years","COPD",0.110543781658793,0.00687821846527164,0.095580003245568,0.123029014425557
"India","Male","55-59",57.5,27.5,"25-29 years","COPD",0.112307778174625,0.00698797727056853,0.0971052160633164,0.124992243379157
"India","Male","60-64",62.5,2.5,"0-4 years","COPD",0.0244477371742291,0.00162397884700099,0.0211478571892901,0.0273756245444523
"India","Male","60-64",62.5,7.5,"5-9 years","COPD",0.066699804681864,0.00443063794127446,0.0576968712446938,0.0746878452245384
"India","Male","60-64",62.5,12.5,"10-14 years","COPD",0.0863642889307005,0.00573688179647091,0.0747071042012968,0.0967073693146414
"India","Male","60-64",62.5,17.5,"15-19 years","COPD",0.0935391683187893,0.00621348428417773,0.0809135405503276,0.104741519996165
"India","Male","60-64",62.5,22.5,"20-24 years","COPD",0.0999168388859796,0.00663713093991712,0.0864303728605772,0.111882987268631
"India","Male","60-64",62.5,27.5,"25-29 years","COPD",0.101511256527777,0.00674304260385196,0.0878095809381396,0.113668354086748
"India","Male","65-69",67.5,2.5,"0-4 years","COPD",0.0242864135321445,0.00168621755503077,0.0203735437185032,0.0271545679204559
"India","Male","65-69",67.5,7.5,"5-9 years","COPD",0.066259671701829,0.00460044137296438,0.0555843421015686,0.0740847450873307
"India","Male","65-69",67.5,12.5,"10-14 years","COPD",0.085794395629858,0.00595674679766304,0.0719717577012342,0.0959264627624799
"India","Male","65-69",67.5,17.5,"15-19 years","COPD",0.092921930036031,0.0064516149931612,0.0779509498794906,0.10389573813044
"India","Male","65-69",67.5,22.5,"20-24 years","COPD",0.0992575161748513,0.00689149783360401,0.0832657873712741,0.110979538457515
