"country","sex","age_group","age_mean","year_mean","years_post_int","outcome","mean","se","l","u"
"India","Male","50-54",52.5,7.5,"5-9 years","IHD",0.00836814612104603,0.00488902111430077,0,0.0178353699374816
"India","Male","50-54",52.5,12.5,"10-14 years","IHD",0.00956359556690974,0.00558745270205802,0,0.0203832799285504
"India","Male","50-54",52.5,17.5,"15-19 years","IHD",0.00956359556690974,0.00558745270205802,0,0.0203832799285504
"India","Male","50-54",52.5,22.5,"20-24 years","IHD",0.00956359556690974,0.00558745270205802,0,0.0203832799285504
"India","Male","50-54",52.5,27.5,"25-29 years","IHD",0.00956359556690974,0.00558745270205802,0,0.0203832799285504
"India","Male","55-59",57.5,2.5,"0-4 years","IHD",0.00458062817207985,0.00301274111360759,0,0.010401211520259
"India","Male","55-59",57.5,7.5,"5-9 years","IHD",0.00785892088347034,0.00516891857726793,0,0.0178452158435817
"India","Male","55-59",57.5,12.5,"10-14 years","IHD",0.00898162386682324,0.00590733551687763,0,0.0203945323926648
"India","Male","55-59",57.5,17.5,"15-19 years","IHD",0.00898162386682324,0.00590733551687763,0,0.0203945323926648
"India","Male","55-59",57.5,22.5,"20-24 years","IHD",0.00898162386682324,0.00590733551687763,0,0.0203945323926648
"India","Male","55-59",57.5,27.5,"25-29 years","IHD",0.00898162386682324,0.00590733551687763,0,0.0203945323926648
"India","Male","60-64",62.5,2.5,"0-4 years","IHD",0.0036245596273382,0.00260476601687297,0,0.00896014824371108
"India","Male","60-64",62.5,7.5,"5-9 years","IHD",0.00621860720376652,0.00446896130345852,0,0.0153728033593082
"India","Male","60-64",62.5,12.5,"10-14 years","IHD",0.00710697966144745,0.00510738434680973,0,0.0175689181249237
"India","Male","60-64",62.5,17.5,"15-19 years","IHD",0.00710697966144745,0.00510738434680973,0,0.0175689181249237
"India","Male","60-64",62.5,22.5,"20-24 years","IHD",0.00710697966144745,0.00510738434680973,0,0.0175689181249237
"India","Male","60-64",62.5,27.5,"25-29 years","IHD",0.00710697966144745,0.00510738434680973,0,0.0175689181249237
"India","Male","65-69",67.5,2.5,"0-4 years","IHD",0.00287734044005609,0.00237749956734192,0,0.00809259395234636
"India","Male","65-69",67.5,7.5,"5-9 years","IHD",0.00493661350009623,0.00407904337534154,0,0.0138843523692217
"India","Male","65-69",67.5,12.5,"10-14 years","IHD",0.00564184400010996,0.00466176385753317,0,0.0158678312791105
"India","Male","65-69",67.5,17.5,"15-19 years","IHD",0.00564184400010996,0.00466176385753317,0,0.0158678312791105
"India","Male","65-69",67.5,22.5,"20-24 years","IHD",0.00564184400010996,0.00466176385753317,0,0.0158678312791105
"India","Male","65-69",67.5,27.5,"25-29 years","IHD",0.00564184400010996,0.00466176385753317,0,0.0158678312791105
"India","Male","70-74",72.5,2.5,"0-4 years","IHD",0.00175405855355499,0.0016880442514981,0,0.0055096592615511
"India","Male","70-74",72.5,7.5,"5-9 years","IHD",0.00300941418502081,0.00289615435306048,0,0.00945284677226904
"India","Male","70-74",72.5,12.5,"10-14 years","IHD",0.00343933049716665,0.00330989068921197,0,0.0108032534540218
"India","Male","70-74",72.5,17.5,"15-19 years","IHD",0.00343933049716665,0.00330989068921197,0,0.0108032534540218
"India","Male","70-74",72.5,22.5,"20-24 years","IHD",0.00343933049716665,0.00330989068921197,0,0.0108032534540218
"India","Male","70-74",72.5,27.5,"25-29 years","IHD",0.00343933049716665,0.00330989068921197,0,0.0108032534540218
"India","Male","75-79",77.5,2.5,"0-4 years","IHD",0.000829975832955388,0.000863597955530061,0,0.00280174889786614
"India","Male","75-79",77.5,7.5,"5-9 years","IHD",0.0014239781447764,0.00148166315899765,0,0.00480692212869191
"India","Male","75-79",77.5,12.5,"10-14 years","IHD",0.00162740359403017,0.00169332932456875,0,0.00549362528993361
"India","Male","75-79",77.5,17.5,"15-19 years","IHD",0.00162740359403017,0.00169332932456875,0,0.00549362528993361
"India","Male","75-79",77.5,22.5,"20-24 years","IHD",0.00162740359403017,0.00169332932456875,0,0.00549362528993361
"India","Male","75-79",77.5,27.5,"25-29 years","IHD",0.00162740359403017,0.00169332932456875,0,0.00549362528993361
"India","Male","80+",84.91,2.5,"0-4 years","IHD",0.000503241049950268,0.000588965763931937,0,0.00199490659904046
"India","Male","80+",84.91,7.5,"5-9 years","IHD",0.000863403762169579,0.0010104804773342,0,0.00342263387090275
"India","Male","80+",84.91,12.5,"10-14 years","IHD",0.000986747156765234,0.00115483483123909,0,0.003911581566746
"India","Male","80+",84.91,17.5,"15-19 years","IHD",0.000986747156765234,0.00115483483123909,0,0.003911581566746
"India","Male","80+",84.91,22.5,"20-24 years","IHD",0.000986747156765234,0.00115483483123909,0,0.003911581566746
"India","Male","80+",84.91,27.5,"25-29 years","IHD",0.000986747156765234,0.00115483483123909,0,0.003911581566746
"India","Male","35-39",37.5,2.5,"0-4 years","lung_cancer",0.0417799170491988,0.000463323572370148,0.0407459932692591,0.0425868610768634
"India","Male","35-39",37.5,7.5,"5-9 years","lung_cancer",0.101465512833769,0.00112521439004179,0.0989545550824863,0.103425234043811
"India","Male","35-39",37.5,12.5,"10-14 years","lung_cancer",0.135287350445025,0.00150028585338906,0.131939406776649,0.137900312058415
"India","Male","35-39",37.5,17.5,"15-19 years","lung_cancer",0.16164848858321,0.00179262096452737,0.157648188244157,0.16477059345215
"India","Male","35-39",37.5,22.5,"20-24 years","lung_cancer",0.174082987704995,0.00193051488487563,0.169774971955246,0.177445254486931
"India","Male","35-39",37.5,27.5,"25-29 years","lung_cancer",0.186020106861909,0.00206289304840996,0.181416684317892,0.18961292908032
"India","Male","40-44",42.5,2.5,"0-4 years","lung_cancer",0.00284162869981833,0.00024481932487809,0.00234911784594932,0.00330981484940147
"India","Male","40-44",42.5,7.5,"5-9 years","lung_cancer",0.00690109827098737,0.000594561217561077,0.00570500048301977,0.00803812177711785
"India","Male","40-44",42.5,12.5,"10-14 years","lung_cancer",0.00920146436131649,0.000792748290081435,0.00760666731069304,0.0107174957028238
"India","Male","40-44",42.5,17.5,"15-19 years","lung_cancer",0.0109943967552495,0.000947217626016421,0.00908884880873249,0.0128058312625652
"India","Male","40-44",42.5,22.5,"20-24 years","lung_cancer",0.0118401195825764,0.00102008052032538,0.00978799102478883,0.0137908952058394
"India","Male","40-44",42.5,27.5,"25-29 years","lung_cancer",0.0126520134968102,0.00109002889886197,0.0104591675522029,0.0147365565913827
"India","Male","45-49",47.5,2.5,"0-4 years","lung_cancer",0.0280164188919317,0.00106880949891944,0.0259547031841206,0.029992797869117
"India","Male","45-49",47.5,7.5,"5-9 years","lung_cancer",0.0680398744518341,0.0025956802116615,0.0630328505900074,0.0728396519678557
"India","Male","45-49",47.5,12.5,"10-14 years","lung_cancer",0.0907198326024457,0.003460906948882,0.0840438007866765,0.0971195359571411
"India","Male","45-49",47.5,17.5,"15-19 years","lung_cancer",0.108396858808069,0.00413527484700975,0.10041998255761,0.116043563184084
"India","Male","45-49",47.5,22.5,"20-24 years","lung_cancer",0.116735078716382,0.00445337291216435,0.108144596600503,0.124969991121321
"India","Male","45-49",47.5,27.5,"25-29 years","lung_cancer",0.124739769828363,0.00475874705471276,0.11556022608168,0.133539361941069
"India","Male","50-54",52.5,2.5,"0-4 years","lung_cancer",0.0269384805905691,0.00111166995960766,0.0246904305266541,0.028934318471634
"India","Male","50-54",52.5,7.5,"5-9 years","lung_cancer",0.0654220242913821,0.0026997699019043,0.0599624741361599,0.070269059145397
"India","Male","50-54",52.5,12.5,"10-14 years","lung_cancer",0.0872293657218427,0.00359969320253908,0.0799499655148799,0.0936920788605294
"India","Male","50-54",52.5,17.5,"15-19 years","lung_cancer",0.104226264189702,0.00430110401038676,0.0955284514424116,0.111948255991441
"India","Male","50-54",52.5,22.5,"20-24 years","lung_cancer",0.112243669127371,0.00463195816503189,0.102876793861059,0.120559660298475
"India","Male","50-54",52.5,27.5,"25-29 years","lung_cancer",0.119940377867534,0.00494957815349122,0.10993120258296,0.128826608433228
"India","Male","55-59",57.5,2.5,"0-4 years","lung_cancer",0.0283322542686632,0.00104121191088755,0.0260974685307831,0.0302386600203929
"India","Male","55-59",57.5,7.5,"5-9 years","lung_cancer",0.0688069032238963,0.00252865749786976,0.0633795664319018,0.0734367457638111
"India","Male","55-59",57.5,12.5,"10-14 years","lung_cancer",0.0917425376318616,0.00337154333049301,0.084506088575869,0.0979156610184148
"India","Male","55-59",57.5,17.5,"15-19 years","lung_cancer",0.109618840920423,0.00402849846474349,0.100972348482196,0.116994815555091
"India","Male","55-59",57.5,22.5,"20-24 years","lung_cancer",0.118051059452763,0.00433838296203145,0.108739452211596,0.125994416751637
"India","Male","55-59",57.5,27.5,"25-29 years","lung_cancer",0.12614598924381,0.0046358720794279,0.11619587179182,0.13463403390032
"India","Male","60-64",62.5,2.5,"0-4 years","lung_cancer",0.0261727220783528,0.00113403859814508,0.0237679953134803,0.0282432778064166
"India","Male","60-64",62.5,7.5,"5-9 years","lung_cancer",0.0635623250474282,0.00275409373835234,0.0577222743327379,0.0685908175298689
"India","Male","60-64",62.5,12.5,"10-14 years","lung_cancer",0.0847497667299042,0.00367212498446978,0.0769630324436505,0.0914544233731586
"India","Male","60-64",62.5,17.5,"15-19 years","lung_cancer",0.101263508041246,0.00438764933806133,0.0919595056771559,0.109274586751017
"India","Male","60-64",62.5,22.5,"20-24 years","lung_cancer",0.109053008659803,0.0047251608256045,0.099033313806168,0.117680324193403
"India","Male","60-64",62.5,27.5,"25-29 years","lung_cancer",0.116530929253618,0.00504917185364595,0.105824169610019,0.125749832138093
"India","Male","65-69",67.5,2.5,"0-4 years","lung_cancer",0.0252718206249233,0.00111596206499033,0.022979842162586,0.027281560023241
