"country","sex","age_group","age_mean","year_mean","years_post_int","outcome","mean","se","l","u"
"India","Male","35-39",37.5,2.5,"0-4 years","COPD",0.0108104569242213,0.000851936192290494,0.00895724768474206,0.0123049274398378
"India","Male","35-39",37.5,7.5,"5-9 years","COPD",0.0294937466084734,0.00232430417679255,0.0244377083572854,0.0335710520369488
"India","Male","35-39",37.5,12.5,"10-14 years","COPD",0.0381891141344775,0.0030095572010262,0.0316424510602301,0.0434684936733401
"India","Male","35-39",37.5,17.5,"15-19 years","COPD",0.0413617482318033,0.00325958195311146,0.0342712085329262,0.0470797223785099
"India","Male","35-39",37.5,22.5,"20-24 years","COPD",0.0441818674294263,0.00348182617718724,0.0366078818419893,0.0502897034497719
"India","Male","35-39",37.5,27.5,"25-29 years","COPD",0.044886897228832,0.00353738723320618,0.0371920501692551,0.0510921987175874
"India","Male","40-44",42.5,2.5,"0-4 years","COPD",0.0088327616084602,0.00078915767824443,0.00719616634883998,0.010283280495295
"India","Male","40-44",42.5,7.5,"5-9 years","COPD",0.0240980778665599,0.00215302801347122,0.0196330190604222,0.0280554717860767
"India","Male","40-44",42.5,12.5,"10-14 years","COPD",0.0312026904646692,0.00278778527640696,0.0254212398192717,0.0363268060975097
"India","Male","40-44",42.5,17.5,"15-19 years","COPD",0.0337949139801955,0.00301938589937,0.0275331582042574,0.0393447253733029
"India","Male","40-44",42.5,22.5,"20-24 years","COPD",0.0360991126606634,0.00322525311978159,0.0294104189909113,0.042027320285119
"India","Male","40-44",42.5,27.5,"25-29 years","COPD",0.0366751623307804,0.00327671992488449,0.0298797341875748,0.042697969013073
"India","Male","45-49",47.5,2.5,"0-4 years","COPD",0.0154209740703147,0.000845030377612581,0.0135674294851082,0.0168425837414199
"India","Male","45-49",47.5,7.5,"5-9 years","COPD",0.0420724401266195,0.00230546331283432,0.0370154869648059,0.0459509621640912
"India","Male","45-49",47.5,12.5,"10-14 years","COPD",0.0544762670962204,0.00298516166004444,0.0479284193767408,0.0594982577821897
"India","Male","45-49",47.5,17.5,"15-19 years","COPD",0.0590019877472911,0.00323315970564813,0.0519101649865008,0.0644411899671716
"India","Male","45-49",47.5,22.5,"20-24 years","COPD",0.0630248505482428,0.00345360241285142,0.0554494944173986,0.0688349074649333
"India","Male","45-49",47.5,27.5,"25-29 years","COPD",0.0640305662484807,0.00350871308965224,0.056334326775123,0.0699333368393737
"India","Male","50-54",52.5,2.5,"0-4 years","COPD",0.0136184383588712,0.000888865825521157,0.0117626509683076,0.0150961509637318
"India","Male","50-54",52.5,7.5,"5-9 years","COPD",0.0371546524790942,0.00242505785006315,0.0320915803591871,0.0411862379553989
"India","Male","50-54",52.5,12.5,"10-14 years","COPD",0.0481086137677515,0.00314001514450409,0.041552843094565,0.0533287941653572
"India","Male","50-54",52.5,17.5,"15-19 years","COPD",0.0521053293730723,0.00340087794112443,0.0450049254439596,0.0577591862960176
"India","Male","50-54",52.5,22.5,"20-24 years","COPD",0.055657965466691,0.00363275598256473,0.0480734430878659,0.0616973126343825
