Gender,Age,YearPostInt,IF_Mean
0,0,0,0
0,1,0,0
0,2,0,0
0,3,0,0
0,4,0,0
0,5,0,0
0,6,0,0
0,7,0,0
0,8,0,0
0,9,0,0
0,10,0,0
0,11,0,0
0,12,0,0
0,13,0,0
0,14,0,0
0,15,0,0
0,16,0,0
0,17,0,0
0,18,0,0
0,19,0,0
0,20,0,0
0,21,0,0
0,22,0,0
0,23,0,0
0,24,0,0
0,25,0,0
0,26,0,0
0,27,0,0
0,28,0,0
0,29,0,0
0,30,0,0
0,31,0,0
0,32,0,0
0,33,0,0
0,34,0,0
0,35,0,0.00384015298338125
0,36,0,0.00384015298338125
0,37,0,0.00384015298338125
0,38,0,0.00384015298338125
0,39,0,0.00384015298338125
0,40,0,0.0030663813588786
0,41,0,0.0030663813588786
0,42,0,0.0030663813588786
0,43,0,0.0030663813588786
0,44,0,0.0030663813588786
0,45,0,0.00586681464118277
0,46,0,0.00586681464118277
0,47,0,0.00586681464118277
0,48,0,0.00586681464118277
0,49,0,0.00586681464118277
0,50,0,0.00509691421978342
0,51,0,0.00509691421978342
0,52,0,0.00509691421978342
0,53,0,0.00509691421978342
0,54,0,0.00509691421978342
0,55,0,0.00504273895823315
0,56,0,0.00504273895823315
0,57,0,0.00504273895823315
0,58,0,0.00504273895823315
0,59,0,0.00504273895823315
0,60,0,0.00446976961449363
0,61,0,0.00446976961449363
0,62,0,0.00446976961449363
0,63,0,0.00446976961449363
0,64,0,0.00446976961449363
0,65,0,0.00443396615308533
0,66,0,0.00443396615308533
0,67,0,0.00443396615308533
0,68,0,0.00443396615308533
0,69,0,0.00443396615308533
0,70,0,0.00278590178658578
0,71,0,0.00278590178658578
0,72,0,0.00278590178658578
0,73,0,0.00278590178658578
0,74,0,0.00278590178658578
0,75,0,0.00214468843243598
0,76,0,0.00214468843243598
0,77,0,0.00214468843243598
0,78,0,0.00214468843243598
0,79,0,0.00214468843243598
0,80,0,0.00164119249599837
0,81,0,0.00164119249599837
0,82,0,0.00164119249599837
0,83,0,0.00164119249599837
0,84,0,0.00164119249599837
0,85,0,0.00164119249599837
0,86,0,0.00164119249599837
0,87,0,0.00164119249599837
0,88,0,0.00164119249599837
0,89,0,0.00164119249599837
0,90,0,0.00164119249599837
0,91,0,0.00164119249599837
0,92,0,0.00164119249599837
0,93,0,0.00164119249599837
0,94,0,0.00164119249599837
0,95,0,0.00164119249599837
0,96,0,0.00164119249599837
0,97,0,0.00164119249599837
0,98,0,0.00164119249599837
0,99,0,0.00164119249599837
0,100,0,0.00164119249599837
0,101,0,0.00164119249599837
0,102,0,0.00164119249599837
0,103,0,0.00164119249599837
0,104,0,0.00164119249599837
0,105,0,0.00164119249599837
0,106,0,0.00164119249599837
0,107,0,0.00164119249599837
0,108,0,0.00164119249599837
0,109,0,0.00164119249599837
0,110,0,0.00164119249599837
1,0,0,0
1,1,0,0
1,2,0,0
1,3,0,0
1,4,0,0
1,5,0,0
1,6,0,0
1,7,0,0
1,8,0,0
1,9,0,0
1,10,0,0
1,11,0,0
1,12,0,0
1,13,0,0
1,14,0,0
1,15,0,0
1,16,0,0
1,17,0,0
1,18,0,0
1,19,0,0
1,20,0,0
1,21,0,0
1,22,0,0
1,23,0,0
1,24,0,0
1,25,0,0
1,26,0,0
1,27,0,0
1,28,0,0
1,29,0,0
1,30,0,0
1,31,0,0
1,32,0,0
1,33,0,0
1,34,0,0
1,35,0,0
1,36,0,0
1,37,0,0
1,38,0,0
1,39,0,0
1,40,0,0
1,41,0,0
1,42,0,0
1,43,0,0
1,44,0,0
1,45,0,0
1,46,0,0
1,47,0,0
1,48,0,0
1,49,0,0
1,50,0,0
1,51,0,0
1,52,0,0
1,53,0,0
1,54,0,0
1,55,0,0.00125087932068702
1,56,0,0.00125087932068702
1,57,0,0.00125087932068702
1,58,0,0.00125087932068702
1,59,0,0.00125087932068702
1,60,0,0.00177711593076546
1,61,0,0.00177711593076546
1,62,0,0.00177711593076546
1,63,0,0.00177711593076546
1,64,0,0.00177711593076546
1,65,0,0.000394474148058266
1,66,0,0.000394474148058266
1,67,0,0.000394474148058266
1,68,0,0.000394474148058266
1,69,0,0.000394474148058266
1,70,0,0.000295960979099341
1,71,0,0.000295960979099341
1,72,0,0.000295960979099341
1,73,0,0.000295960979099341
1,74,0,0.000295960979099341
1,75,0,0
1,76,0,0
1,77,0,0
1,78,0,0
1,79,0,0
1,80,0,0
1,81,0,0
1,82,0,0
1,83,0,0
1,84,0,0
1,85,0,0
1,86,0,0
1,87,0,0
1,88,0,0
1,89,0,0
1,90,0,0
1,91,0,0
1,92,0,0
1,93,0,0
1,94,0,0
1,95,0,0
1,96,0,0
1,97,0,0
1,98,0,0
1,99,0,0
1,100,0,0
1,101,0,0
1,102,0,0
1,103,0,0
1,104,0,0
1,105,0,0
1,106,0,0
1,107,0,0
1,108,0,0
1,109,0,0
1,110,0,0
0,0,1,0
0,1,1,0
0,2,1,0
0,3,1,0
0,4,1,0
0,5,1,0
0,6,1,0
0,7,1,0
0,8,1,0
0,9,1,0
0,10,1,0
0,11,1,0
0,12,1,0
0,13,1,0
0,14,1,0
0,15,1,0
0,16,1,0
0,17,1,0
0,18,1,0
0,19,1,0
0,20,1,0
0,21,1,0
0,22,1,0
0,23,1,0
0,24,1,0
0,25,1,0
0,26,1,0
0,27,1,0
0,28,1,0
0,29,1,0
0,30,1,0
0,31,1,0
0,32,1,0
0,33,1,0
0,34,1,0
0,35,1,0.00384015298338125
0,36,1,0.00384015298338125
0,37,1,0.00384015298338125
0,38,1,0.00384015298338125
0,39,1,0.00384015298338125
0,40,1,0.0030663813588786
0,41,1,0.0030663813588786
0,42,1,0.0030663813588786
0,43,1,0.0030663813588786
0,44,1,0.0030663813588786
0,45,1,0.00586681464118277
0,46,1,0.00586681464118277
0,47,1,0.00586681464118277
0,48,1,0.00586681464118277
0,49,1,0.00586681464118277
0,50,1,0.00509691421978342
0,51,1,0.00509691421978342
0,52,1,0.00509691421978342
0,53,1,0.00509691421978342
0,54,1,0.00509691421978342
0,55,1,0.00504273895823315
0,56,1,0.00504273895823315
0,57,1,0.00504273895823315
0,58,1,0.00504273895823315
0,59,1,0.00504273895823315
0,60,1,0.00446976961449363
0,61,1,0.00446976961449363
0,62,1,0.00446976961449363
0,63,1,0.00446976961449363
0,64,1,0.00446976961449363
0,65,1,0.00443396615308533
0,66,1,0.00443396615308533
0,67,1,0.00443396615308533
0,68,1,0.00443396615308533
0,69,1,0.00443396615308533
0,70,1,0.00278590178658578
0,71,1,0.00278590178658578
0,72,1,0.00278590178658578
0,73,1,0.00278590178658578
0,74,1,0.00278590178658578
0,75,1,0.00214468843243598
0,76,1,0.00214468843243598
0,77,1,0.00214468843243598
0,78,1,0.00214468843243598
0,79,1,0.00214468843243598
0,80,1,0.00164119249599837
0,81,1,0.00164119249599837
0,82,1,0.00164119249599837
0,83,1,0.00164119249599837
0,84,1,0.00164119249599837
0,85,1,0.00164119249599837
0,86,1,0.00164119249599837
0,87,1,0.00164119249599837
0,88,1,0.00164119249599837
0,89,1,0.00164119249599837
0,90,1,0.00164119249599837
0,91,1,0.00164119249599837
0,92,1,0.00164119249599837
0,93,1,0.00164119249599837
0,94,1,0.00164119249599837
0,95,1,0.00164119249599837
0,96,1,0.00164119249599837
0,97,1,0.00164119249599837
0,98,1,0.00164119249599837
0,99,1,0.00164119249599837
0,100,1,0.00164119249599837
0,101,1,0.00164119249599837
0,102,1,0.00164119249599837
0,103,1,0.00164119249599837
0,104,1,0.00164119249599837
0,105,1,0.00164119249599837
0,106,1,0.00164119249599837
